customer,Age,Education,Employ,Address,Income,Leverage,Creddebt,OthDebt,MonthlyLoad,Default
10012,28,Med,7,2,44,17.7,2.99,4.8,0.58,0
10017,64,Posg,34,17,116,14.7,5.05,12,0.27,0
10030,40,Bas,20,12,61,4.8,1.04,1.89,0.13,0
10039,30,Bas,11,3,27,34.5,1.75,7.56,1.62,0
10069,25,Bas,2,2,30,22.4,0.76,5.96,0.97,1
10071,35,Bas,2,9,38,10.9,1.46,2.68,0.4,1
10096,26,SupInc,2,4,38,11.9,0.95,3.57,0.43,1
10128,25,Bas,4,2,30,14.4,1.05,3.27,0.62,0
10129,65,SupCom,29,14,189,5,3.36,6.09,0.08,0
10140,21,SupInc,0,0,23,3.9,0.31,0.59,0.21,0
10142,62,Bas,33,13,96,17.5,6.69,10.11,0.36,0
10169,30,SupCom,4,3,39,10.6,2.39,1.74,0.38,1
10197,38,Posg,7,7,124,19.1,9.52,14.16,0.35,0
10200,18,Med,0,0,35,3.9,0.17,1.19,0.15,0
10218,53,Bas,9,13,41,13.3,2.33,3.12,0.46,0
10234,18,Med,0,0,15,7.4,0.83,0.28,0.57,1
10351,18,Med,0,0,56,15.7,1.84,6.95,0.44,1
10423,19,Bas,2,0,31,0.3,0.02,,0.01,1
10428,19,Med,0,0,26,5.8,0.59,0.92,0.28,1
10449,56,Med,27,21,125,8.5,2.9,7.72,0.15,0
10455,21,Med,1,1,40,7.6,1.52,1.52,0.27,1
10474,25,Bas,8,3,37,8.3,0.95,2.12,0.31,0
10525,47,SupInc,8,10,43,6.1,0.36,2.26,0.2,0
10564,40,SupCom,17,11,103,13.3,10.41,3.29,0.26,1
10567,41,Med,16,11,56,3.4,0.9,1.01,0.09,0
10746,23,SupCom,0,2,118,6.4,0.29,7.26,0.12,0
10775,45,Posg,1,4,58,15.4,2.37,6.57,0.42,1
10776,37,SupInc,15,10,65,5,1.3,1.95,0.13,0
10797,47,Med,23,14,46,11.7,0.84,4.54,0.37,0
10798,23,SupCom,0,2,42,6.7,1.58,1.23,0.23,0
10800,18,Med,0,0,19,5.2,0.32,0.67,0.33,1
10802,19,Med,0,0,21,2,0.28,0.14,0.12,1
10805,41,Bas,3,12,23,10.6,0.15,2.29,0.57,1
10824,42,Med,3,12,76,5.2,0.72,3.23,0.12,1
10839,29,SupCom,2,3,45,3,0.67,0.68,0.1,0
10870,24,SupCom,0,2,41,8.4,0.79,2.66,0.29,0
10884,45,Posg,9,11,48,10.2,3.53,1.37,0.31,0
10887,39,SupCom,8,9,259,7.2,1.55,17.1,0.1,0
10893,40,Med,15,6,46,10.6,0.82,4.06,0.34,0
10927,21,SupInc,0,0,17,17.6,1.37,1.62,1.21,1
10935,55,SupInc,34,16,150,9.9,0.73,14.12,0.17,0
11045,29,Med,6,4,35,3.3,0.2,0.96,0.13,1
11057,22,SupInc,0,0,24,5.2,0.28,0.97,0.27,1
11080,58,SupCom,24,18,70,6.8,2.3,2.46,0.17,0
11199,53,Med,14,19,67,6.1,1.06,3.02,0.15,0
11267,31,SupInc,5,7,25,6.8,0.43,1.27,0.34,0
11288,26,Bas,4,2,23,6.9,0.17,1.42,0.37,0
11307,23,SupCom,0,0,28,19.2,1.72,3.66,0.88,1
11329,25,Med,1,3,19,28.6,2.34,3.1,1.79,1
11337,52,SupInc,23,10,153,4.5,2.12,4.76,0.07,0
11344,25,SupInc,0,1,35,9.7,0.13,3.26,0.37,1
11363,22,SupCom,0,1,31,22.8,1.31,5.75,0.96,1
11423,38,SupInc,8,8,35,26.4,3.78,5.46,1.02,0
11461,42,Med,16,11,49,9.7,0.56,4.2,0.3,0
11466,52,Bas,5,18,36,9.8,1.4,2.13,0.37,0
11472,30,Bas,2,3,18,3,0.07,0.47,0.2,1
11475,59,SupCom,20,16,144,3.4,2.49,2.4,0.06,0
11512,34,SupInc,5,5,44,5.6,0.74,1.72,0.18,0
11557,33,Bas,11,6,52,9.1,0.95,3.79,0.27,1
11569,26,SupInc,2,3,21,8.2,0.54,1.18,0.47,0
11628,25,SupInc,2,1,26,11.9,1.24,1.86,0.58,1
11652,19,Med,0,0,43,21.2,3.43,5.69,0.71,1
11661,41,Posg,7,12,47,5.2,1.64,0.81,0.16,0
11690,36,Med,2,9,27,9.3,0.74,1.78,0.44,1
11703,20,Med,0,0,21,10.2,0.55,1.59,0.59,0
11712,35,Med,6,5,26,2.5,0.45,0.2,0.12,0
11755,33,SupCom,3,4,34,1.2,0.23,0.18,0.05,0
11783,38,SupCom,0,12,37,2,0.1,0.64,0.07,0
11809,40,Med,6,6,36,6.6,1.58,0.8,0.25,1
11852,39,Med,7,6,82,17.4,3.71,10.56,0.39,0
11859,18,Med,0,0,12,8.2,0.15,0.83,0.77,1
11860,66,Bas,40,17,149,13.1,7.79,11.73,0.22,0
11897,43,Med,6,6,40,6.6,0.5,2.14,0.23,0
11916,39,SupCom,14,8,46,6.5,0.5,2.49,0.21,0
11941,27,SupInc,5,4,27,10.5,0.99,1.84,0.49,0
11964,47,SupInc,17,13,111,8.8,5.73,4.03,0.17,0
11973,25,Bas,9,3,25,23.5,0.34,5.53,1.17,1
11995,57,SupInc,7,14,43,20.8,2.5,6.45,0.69,1
12099,69,Bas,6,24,60,18.6,1.27,9.89,0.5,0
12104,20,SupInc,0,0,22,4.2,0.54,0.39,0.23,1
12110,42,Bas,15,7,60,6.1,2.01,1.65,0.16,0
12133,33,Med,12,5,70,5.7,0.83,3.16,0.14,0
12149,41,Med,10,7,29,4.2,0.47,0.74,0.19,0
12157,35,SupInc,0,7,36,4.7,0.55,1.15,0.18,0
12239,46,SupInc,20,16,122,6.7,2.89,5.28,0.12,0
12382,24,SupCom,0,1,27,4.2,0.44,0.69,0.2,0
12439,34,SupInc,7,8,43,30.3,3.92,9.11,1.01,1
12540,36,Med,7,4,41,18.9,3.18,4.57,0.65,0
12596,19,Bas,0,0,18,15.1,0.79,1.92,0.99,1
12638,29,Posg,1,4,51,1.3,0.28,0.38,0.04,0
12687,44,Med,7,9,59,8.4,1.77,3.19,0.23,0
12710,19,Med,0,0,28,11.7,0.82,2.45,0.53,0
12729,39,Bas,2,9,29,3.7,0.48,0.6,0.16,0
12759,30,SupCom,5,5,222,2.9,1.97,4.47,0.04,0
12779,72,Med,44,13,187,9.2,4.71,12.49,0.14,0
12841,18,Med,0,0,30,7,0.81,1.29,0.3,1
12910,28,SupInc,7,5,30,8.5,0.46,2.09,0.37,0
12946,24,Bas,5,2,27,10,1.29,1.41,0.47,0
13005,33,Med,8,4,45,12.1,0.11,5.34,0.39,0
13013,34,SupCom,11,4,132,4.7,1.51,4.69,0.08,0
60060,46,SupCom,7,16,41,2.5,0.35,0.67,0.09,0
60063,36,Med,16,4,96,12.2,5.42,6.29,0.25,0
60070,45,Bas,13,7,65,28.6,10.73,7.86,0.73,1
60087,59,Bas,34,26,154,8.5,8.33,4.76,0.14,0
60090,35,Med,9,1,80,12.9,4.28,6.04,0.29,1
60112,62,SupCom,31,22,387,15,5.4,52.65,0.19,0
60199,29,SupCom,1,4,38,4.5,0.82,0.89,0.16,1
60220,56,SupInc,30,14,167,1.4,0.46,1.88,0.02,0
60229,24,Med,4,1,39,21.5,3.97,4.42,0.77,1
60237,32,SupInc,1,6,45,13.9,1.51,4.74,0.45,1
60256,25,Med,6,2,29,5.9,0.64,1.07,0.26,0
60309,37,Bas,9,6,33,1.2,0.11,0.28,0.05,0
60324,27,SupInc,1,2,28,23.5,0.82,5.76,1.07,0
60346,56,Med,37,10,160,11.4,6.77,11.47,0.19,0
60410,31,Med,11,6,61,34.4,9.48,11.5,0.91,1
60435,59,Bas,31,15,86,6.8,1.61,4.23,0.15,0
60494,65,SupInc,26,16,186,4.2,2.98,4.83,0.06,0
60497,26,Bas,0,3,29,16.9,3.09,1.81,0.75,1
60499,27,SupInc,3,4,68,24.9,5.23,11.7,0.62,1
60515,30,Bas,6,3,22,15.5,0.13,3.28,0.86,1
60625,43,Bas,22,13,96,1.2,0.34,0.81,0.02,0
60634,30,SupCom,4,5,64,14.1,2.83,6.19,0.36,0
60657,18,Med,0,0,19,14,0.56,2.1,0.88,1
60686,24,SupInc,1,1,33,14,0.06,4.56,0.56,0
60777,31,SupCom,0,6,28,4.5,0.07,1.19,0.21,0
60925,25,Bas,4,3,31,3.1,0.37,0.59,0.13,0
60937,24,SupCom,0,2,48,1.2,0.06,0.51,0.04,1
60942,26,SupInc,2,3,37,3.1,0.35,0.8,0.11,0
60944,33,Med,13,5,54,16.2,2.88,5.87,0.46,1
60947,44,SupCom,18,9,136,4.2,1.42,4.3,0.07,0
60949,18,Med,0,0,16,6,0.4,0.56,0.44,0
60980,29,SupInc,1,2,34,15.5,0.39,4.88,0.61,1
61081,21,SupInc,0,1,27,16.5,1.16,3.3,0.78,0
61231,41,Med,22,13,54,4.1,0.82,1.39,0.12,0
61255,40,SupCom,11,8,238,7.9,6.34,12.47,0.11,0
61272,37,Bas,5,10,21,14.5,0.71,2.33,0.84,0
61437,24,Bas,6,3,36,13.2,1.92,2.83,0.5,0
